algorithm,scenario,trial,duration_seconds,seed,drop_rate,throughput_fraction,avg_latency_ns,p99_latency_ns,avg_occupancy,max_occupancy,avg_queue_depth_bytes,packets_arrived,packets_dropped,packets_drained,backpressure_events,utilization
No Control (Baseline),Uniform_16MB,0,0.01253509521484375,42,0.0,0.8385447394296952,7109.311431110516,14858.395716157884,0.03304581538102552,0.07402896881103516,554416.7825435875,5085.0,0.0,4264.0,0.0,0.999375
No Control (Baseline),Uniform_16MB,1,0.03301095962524414,43,0.0,0.8462911543038477,7765.584976503784,15916.019049941304,0.03543761212173447,0.0705420970916748,594544.4730905575,5042.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,2,0.010782957077026367,44,0.0,0.8534,7978.726342488956,15092.878375417798,0.0353338997045278,0.06580352783203125,592804.4674651991,5000.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,3,0.010828733444213867,45,0.0,0.8368307511276721,7645.481524619116,15986.425942350741,0.03534598391763222,0.07483363151550293,593007.2069186419,5099.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,4,0.010610818862915039,46,0.0,0.8422818791946308,8319.314666949453,15800.284896774117,0.0372191921609347,0.07152557373046875,624434.4262295082,5066.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,5,0.010136127471923828,47,0.0,0.8977272727272727,4541.25904803946,10019.813508605646,0.019608292275084233,0.04380941390991211,328972.5548902196,4752.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,6,0.011085033416748047,48,0.0,0.8468718967229394,8069.546177184775,14706.87894525414,0.035684638695635325,0.06911158561706543,598688.8912786321,5035.0,0.0,4264.0,0.0,0.999375
No Control (Baseline),Uniform_16MB,7,0.011385202407836914,49,0.0,0.8356191222570533,8738.315047787011,16790.11240075197,0.03940818441856988,0.07510185241699219,661159.6221581813,5104.0,0.0,4265.0,0.0,0.999609375
No Control (Baseline),Uniform_16MB,8,0.010816812515258789,50,0.0,0.8530587764894042,7840.031529733126,14675.355802881259,0.03460327428397346,0.06589293479919434,580546.6069694681,5002.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,9,0.010908842086791992,51,0.0,0.842947451600158,8258.967498151836,16148.276260223218,0.036977634819415954,0.0711679458618164,620381.7665344625,5062.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,10,0.011142969131469727,52,0.0,0.844783211245298,8685.322063688047,15284.075600666041,0.03832255304819219,0.07009506225585938,642945.7501609788,5051.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,11,0.011651039123535156,53,0.0,0.8279277529617401,8415.037597468052,16426.217010682612,0.03867833552540894,0.07966160774230957,648914.7896302593,5149.0,0.0,4263.0,0.0,0.999140625
No Control (Baseline),Uniform_16MB,12,0.011599063873291016,54,0.0,0.8662200568412505,6242.860923444834,12936.819793155633,0.02802797063032665,0.05963444709777832,470231.3173066464,4926.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,13,0.01175999641418457,55,0.0,0.873181725056341,6627.709903381573,12924.058607073513,0.028901850904714848,0.05632638931274414,484892.5954281964,4881.0,0.0,4262.0,0.0,0.99890625
No Control (Baseline),Uniform_16MB,14,0.011337995529174805,56,0.0,0.8759753593429158,6441.259390982251,12095.363003269522,0.027802200325733727,0.054717063903808594,466443.5201401051,4870.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,15,0.011226892471313477,57,0.0,0.8552816195630387,7258.980729488984,14322.802872250619,0.03230199539774744,0.06490945816040039,541937.5540190147,4989.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,16,0.011015892028808594,58,0.0,0.8639125151883353,6976.422475691701,13784.723026314152,0.030849580659083,0.06026029586791992,517570.0782268579,4938.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,17,0.01624298095703125,59,0.0,0.8606292860024203,7652.0129062787855,14318.698992141219,0.03350506953107632,0.0623166561126709,562121.7886178861,4958.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,18,0.01306772232055664,60,0.0,0.8609485368314833,6997.432259529161,13827.929398952276,0.030960456601788148,0.0616908073425293,519430.26786682574,4955.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,19,0.011101961135864258,61,0.0,0.8742061053062897,6528.671826501867,12380.775793833416,0.02846853489118942,0.05525350570678711,477622.7590730214,4881.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,20,0.012969970703125,62,0.0,0.8473161033797216,7139.97341243182,15303.864211437723,0.032658309860574344,0.06893277168273926,547915.5187257857,5030.0,0.0,4262.0,0.0,0.99890625
No Control (Baseline),Uniform_16MB,21,0.011279106140136719,63,0.0,0.8534,7420.663059407918,14733.337010893827,0.03316198671933091,0.06598234176635742,556365.8141793461,5000.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,22,0.012502193450927734,64,0.0,0.8623686337914309,6901.699584564703,13653.193816122206,0.030581451794794573,0.061064958572387695,513071.6223548562,4948.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,23,0.01055598258972168,65,0.0,0.8416173570019724,7655.510745805525,15355.024636052938,0.034876885142943785,0.07206201553344727,585137.0354503588,5070.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,24,0.03412580490112305,66,0.0,0.8571428571428571,7814.066226170593,14425.810802499958,0.03422684036497557,0.06365776062011719,574231.093800714,4977.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,25,0.01208806037902832,67,0.0,0.8451178451178452,8200.073372736157,16683.409266689006,0.036947285223027676,0.07018446922302246,619872.5848003435,5049.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,26,0.011077165603637695,68,0.0,0.8451178451178452,7447.200997518288,14829.850643673586,0.03374652347630214,0.07018446922302246,566172.7136109918,5049.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,27,0.011276960372924805,69,0.0,0.8475149105367793,7707.894448426321,15226.697238942263,0.03472397084463455,0.06893277168273926,582571.5592381363,5030.0,0.0,4263.0,0.0,0.999140625
No Control (Baseline),Uniform_16MB,28,0.01164698600769043,70,0.0,0.8273855702094647,8309.789076913246,16741.943180292958,0.03842247807784739,0.07992982864379883,644622.2139673105,5156.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,29,0.011211156845092773,71,0.0,0.8588969404186796,7132.38985305785,13217.18295028121,0.031478823231695534,0.06276369094848633,528127.016783974,4968.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,30,0.01073002815246582,72,0.0,0.8442509400356224,7644.185728803175,15073.12414894979,0.034501437709008896,0.07063150405883789,578838.0727545874,5053.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,31,0.04161190986633301,73,0.0,0.840291453328082,8267.375443163448,16187.550206401991,0.0372953342205066,0.07259845733642578,625711.8780096308,5078.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,32,0.010704755783081055,74,0.0,0.8483582089552238,7192.376887644453,14314.806511335135,0.03244752877750446,0.06812810897827148,544379.1989664083,5025.0,0.0,4263.0,0.0,0.999140625
No Control (Baseline),Uniform_16MB,33,0.010802984237670898,75,0.0,0.8462911543038477,7751.215889976402,15698.764530016166,0.035255878462623944,0.06964802742004395,591495.4882371898,5042.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,34,0.010359048843383789,76,0.0,0.8656655844155844,7018.700700158266,13436.319111004179,0.030570463146726696,0.05936622619628906,512887.26343267347,4928.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,35,0.01049184799194336,77,0.0,0.8562826174227218,6971.690186293957,13605.922898746736,0.03112714002907895,0.06410479545593262,522226.7517301038,4982.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,36,0.010629892349243164,78,0.0,0.8536829463570856,7544.863475880984,14542.621730820949,0.03353085647634908,0.0654458999633789,562554.4217687075,4996.0,0.0,4265.0,0.0,0.999609375
No Control (Baseline),Uniform_16MB,37,0.01054692268371582,79,0.0,0.8461233392821733,7952.564887751314,15011.271137197535,0.03545668084178396,0.06946921348571777,594864.3931256713,5043.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,38,0.010591983795166016,80,0.0,0.8525179856115108,7218.8971937346805,14410.054386726035,0.03244542188243187,0.06598234176635742,544343.8511326861,5004.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,39,0.01072072982788086,81,0.0,0.84746772591857,7724.788078640269,14671.906472158253,0.03458803006588221,0.06875395774841309,580290.8514298,5035.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,40,0.010689973831176758,82,0.0,0.8595890410958904,6712.112939046091,13737.53382407517,0.029983867636585452,0.06303191184997559,503045.8238544036,4964.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,41,0.010535955429077148,83,0.0,0.8665447897623401,7195.702747473798,13411.801806043259,0.031248469622042536,0.05874037742614746,524262.324518446,4923.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,42,0.010599374771118164,84,0.0,0.8685551253311595,6574.115080528783,12264.680297297531,0.02875028318063372,0.0578463077545166,482349.71098265896,4907.0,0.0,4262.0,0.0,0.99890625
No Control (Baseline),Uniform_16MB,43,0.011188268661499023,85,0.0,0.8470868960031815,7508.417239476181,15254.774876826117,0.0340517729421339,0.06893277168273926,571293.9498331359,5029.0,0.0,4260.0,0.0,0.9984375
No Control (Baseline),Uniform_16MB,44,0.010549068450927734,86,0.0,0.8551102204408818,7192.717360280329,15446.66731520924,0.03238748793237807,0.0648200511932373,543371.8807389003,4990.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,45,0.010673284530639648,87,0.0,0.8526883869678193,7172.762388485612,14774.638832813802,0.03234899176505922,0.06607174873352051,542726.0222246198,5003.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Uniform_16MB,46,0.010264873504638672,88,0.0,0.8718839395177769,5581.3822678902725,12616.96487139369,0.0250996421380486,0.05641579627990723,421102.11767274316,4894.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,47,0.010584115982055664,89,0.0,0.8616720516962844,7250.77648211958,14032.670922083114,0.031988142834709014,0.06186962127685547,536671.9817767654,4952.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,48,0.01034998893737793,90,0.0,0.8860049833887044,5391.9512325510295,10947.67890541513,0.02335558427951153,0.04944205284118652,391841.6822635693,4816.0,0.0,4267.0,0.0,1.000078125
No Control (Baseline),Uniform_16MB,49,0.011167049407958984,91,0.0,0.8365743468866628,8312.236768988056,15690.86021560651,0.03769297332049691,0.07447600364685059,632383.1550802139,5091.0,0.0,4259.0,0.0,0.998203125
No Control (Baseline),Bursty_16MB,0,0.015064716339111328,92,0.0,0.49679748456969836,23676.421812749362,50396.415174956855,0.19017362755986397,0.3864169120788574,3190584.027075391,8587.0,0.0,4266.0,0.0,0.99984375
No Control (Baseline),Bursty_16MB,1,0.014683961868286133,93,0.0,0.5160977971435488,25518.301256593786,50006.14742284946,0.18471358788578765,0.35762786865234375,3098979.7620948427,8262.0,0.0,4264.0,0.0,0.999375
No Control (Baseline),Bursty_16MB,2,0.039991140365600586,94,0.0,0.5368063420158551,21736.857391068486,44841.11642396222,0.16080672106676094,0.32955408096313477,2697889.093588799,7947.0,0.0,4266.0,0.0,0.99984375
