algorithm,scenario,trial,duration_seconds,seed,avg_throughput_gbps,min_throughput_gbps,max_throughput_gbps,deadlock_fraction,recovery_time_us,packets_forwarded,packets_dropped_ttl,packets_dropped_overflow,collateral_drops,deadlock_occurred,recovered
No Timeout (Baseline),Ring3_Moderate,0,1.1480391025543213,42,27.691200000000002,0.0,1384.56,0.98,0.0,11538.0,0.0,119731.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,1,1.1480541229248047,43,25.98,0.0,1299.0,0.98,0.0,10825.0,0.0,119585.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,2,1.1537938117980957,44,25.730400000000003,0.0,1286.52,0.98,0.0,10721.0,0.0,119804.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,3,1.1509459018707275,45,28.989600000000003,0.0,1449.48,0.98,0.0,12079.0,0.0,119536.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,4,1.143066167831421,46,27.2976,0.0,1364.8799999999999,0.98,0.0,11374.0,0.0,119689.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,5,1.1285839080810547,47,30.9408,0.0,1547.04,0.98,0.0,12892.0,0.0,119544.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,6,1.1224141120910645,48,26.808,0.0,1340.4,0.98,0.0,11170.0,0.0,119800.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,7,1.1219730377197266,49,26.889599999999998,0.0,1344.48,0.98,0.0,11204.0,0.0,119858.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,8,1.3193531036376953,50,29.7456,0.0,1487.28,0.98,0.0,12394.0,0.0,119392.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,9,1.2984790802001953,51,29.455199999999998,0.0,1472.76,0.98,0.0,12273.0,0.0,119707.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,10,1.172734022140503,52,24.1896,0.0,1209.48,0.98,0.0,10079.0,0.0,120108.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,11,1.1714448928833008,53,28.5456,0.0,1427.28,0.98,0.0,11894.0,0.0,119824.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,12,1.15083909034729,54,25.8936,0.0,1294.68,0.98,0.0,10789.0,0.0,119614.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,13,1.1527760028839111,55,27.311999999999998,0.0,1365.6,0.98,0.0,11380.0,0.0,119557.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,14,1.1730358600616455,56,27.4344,0.0,1371.72,0.98,0.0,11431.0,0.0,119759.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,15,1.1930198669433594,57,27.117600000000003,0.0,1355.88,0.98,0.0,11299.0,0.0,119728.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,16,1.1583609580993652,58,25.312799999999996,0.0,1265.6399999999999,0.98,0.0,10547.0,0.0,119849.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,17,1.1384179592132568,59,29.1792,0.0,1458.96,0.98,0.0,12158.0,0.0,119882.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,18,1.1365001201629639,60,26.748,0.0,1337.4,0.98,0.0,11145.0,0.0,119705.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,19,1.1488368511199951,61,27.96,0.0,1398.0,0.98,0.0,11650.0,0.0,119812.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,20,1.1479709148406982,62,29.3856,0.0,1469.28,0.98,0.0,12244.0,0.0,119641.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,21,1.1450438499450684,63,28.643999999999995,0.0,1432.1999999999998,0.98,0.0,11935.0,0.0,119612.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,22,1.1262738704681396,64,26.815199999999997,0.0,1340.76,0.98,0.0,11173.0,0.0,119742.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,23,1.2188100814819336,65,24.8064,0.0,1240.3200000000002,0.98,0.0,10336.0,0.0,119628.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,24,1.1633951663970947,66,27.967200000000002,0.0,1398.3600000000001,0.98,0.0,11653.0,0.0,119742.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,25,1.1459629535675049,67,26.3616,0.0,1318.08,0.98,0.0,10984.0,0.0,119827.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,26,1.1271569728851318,68,25.612799999999996,0.0,1280.6399999999999,0.98,0.0,10672.0,0.0,119719.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,27,1.1362099647521973,69,25.807199999999998,0.0,1290.36,0.98,0.0,10753.0,0.0,119777.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,28,1.1330108642578125,70,26.973599999999998,0.0,1348.68,0.98,0.0,11239.0,0.0,119782.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,29,1.1377341747283936,71,27.633599999999998,0.0,1381.68,0.98,0.0,11514.0,0.0,119702.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,30,1.136113166809082,72,28.5888,0.0,1429.44,0.98,0.0,11912.0,0.0,119574.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,31,1.1518096923828125,73,26.104800000000004,0.0,1305.24,0.98,0.0,10877.0,0.0,119837.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,32,1.1816999912261963,74,26.587200000000003,0.0,1329.3600000000001,0.98,0.0,11078.0,0.0,119581.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,33,1.1933701038360596,75,28.344,0.0,1417.2,0.98,0.0,11810.0,0.0,119743.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,34,1.1705009937286377,76,25.070400000000003,0.0,1253.52,0.98,0.0,10446.0,0.0,119793.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,35,1.1378159523010254,77,27.336,0.0,1366.8,0.98,0.0,11390.0,0.0,119674.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,36,1.140627145767212,78,27.192,0.0,1359.6,0.98,0.0,11330.0,0.0,119637.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,37,1.1236209869384766,79,27.8616,0.0,1393.08,0.98,0.0,11609.0,0.0,119367.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,38,1.1403627395629883,80,25.248,0.0,1262.4,0.98,0.0,10520.0,0.0,119911.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,39,1.135145902633667,81,25.005599999999998,0.0,1250.28,0.98,0.0,10419.0,0.0,119697.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,40,1.1383161544799805,82,28.5888,0.0,1429.44,0.98,0.0,11912.0,0.0,119862.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,41,1.1533989906311035,83,27.7344,0.0,1386.72,0.98,0.0,11556.0,0.0,119640.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,42,1.1609687805175781,84,26.668800000000005,0.0,1333.44,0.98,0.0,11112.0,0.0,119685.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,43,1.1335258483886719,85,29.424,0.0,1471.2,0.98,0.0,12260.0,0.0,119510.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,44,1.1404550075531006,86,31.658399999999993,0.0,1582.9199999999998,0.98,0.0,13191.0,0.0,119724.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,45,1.1572370529174805,87,27.3792,0.0,1368.96,0.98,0.0,11408.0,0.0,119931.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Moderate,46,1.1559760570526123,88,29.356800000000003,0.0,1467.8400000000001,0.98,0.0,12232.0,0.0,119633.0,0.0,0.0,0.0
