algorithm,scenario,trial,duration_seconds,seed,completion_rate,crash_rate,jobs_completed,jobs_crashed,avg_utilization,max_utilization,avg_remote_fraction,remote_job_fraction,avg_exec_time_us,p99_exec_time_us,avg_stranded_memory_gb
Local Only (Baseline),8N_30pct_Frag,0,0.009134769439697266,42,0.98,0.01,98.0,1.0,0.42077537149212607,0.6900236734574657,0.0,0.0,1014.9081632653061,1447.17,1.0174082038190704
Local Only (Baseline),8N_30pct_Frag,1,0.008601903915405273,43,0.9263157894736842,0.05263157894736842,88.0,5.0,0.4105644950624504,0.7200580557366363,0.0,0.0,1030.4431818181818,1460.9799999999993,0.7428592061766255
Local Only (Baseline),8N_30pct_Frag,2,0.00863790512084961,44,0.97,0.03,97.0,3.0,0.4247524402349761,0.7077675321855799,0.0,0.0,1043.8453608247423,1611.3999999999994,2.240198615107035
Local Only (Baseline),8N_30pct_Frag,3,0.008682012557983398,45,0.94,0.06,94.0,6.0,0.41693256650198784,0.8210699563808088,0.0,0.0,1022.0851063829788,1530.8699999999997,1.1207219779966162
Local Only (Baseline),8N_30pct_Frag,4,0.008753061294555664,46,0.9318181818181818,0.045454545454545456,82.0,4.0,0.4026395717665936,0.6411735660991857,0.0,0.0,1018.8048780487804,1501.5599999999997,3.389523628892745
Local Only (Baseline),8N_30pct_Frag,5,0.008611202239990234,47,0.9310344827586207,0.05747126436781609,81.0,5.0,0.4006727851783216,0.631494767765651,0.0,0.0,987.2345679012345,1463.0,2.188194869286497
Local Only (Baseline),8N_30pct_Frag,6,0.008487224578857422,48,0.9310344827586207,0.034482758620689655,81.0,3.0,0.39979291719931337,0.5907455669902648,0.0,0.0,995.8271604938271,1521.2,0.40923115887298345
Local Only (Baseline),8N_30pct_Frag,7,0.008622169494628906,49,0.9292929292929293,0.020202020202020204,92.0,2.0,0.4231121507415634,0.7548292234939699,0.0,0.0,1025.7065217391305,1474.8300000000006,1.3069230757961454
Local Only (Baseline),8N_30pct_Frag,8,0.008282899856567383,50,0.9390243902439024,0.036585365853658534,77.0,3.0,0.3938683568660429,0.705294192497106,0.0,0.0,1007.6363636363636,1408.3999999999999,1.2771606074510555
Local Only (Baseline),8N_30pct_Frag,9,0.008698701858520508,51,0.97,0.03,97.0,3.0,0.41576364184173703,0.7551154416321373,0.0,0.0,1031.5360824742268,1537.04,1.198616876751707
Local Only (Baseline),8N_30pct_Frag,10,0.008526086807250977,52,0.9565217391304348,0.021739130434782608,88.0,2.0,0.4030775691429444,0.6085083950157149,0.0,0.0,1005.2386363636364,1380.9899999999998,1.3354568038851196
Local Only (Baseline),8N_30pct_Frag,11,0.00838613510131836,53,0.95,0.05,95.0,5.0,0.4175771634560352,0.6474297634991787,0.0,0.0,1007.3789473684211,1449.9000000000003,1.3166008791242894
Local Only (Baseline),8N_30pct_Frag,12,0.008622884750366211,54,0.94,0.02,94.0,2.0,0.4177015114630702,0.6794401562773388,0.0,0.0,982.5106382978723,1330.5799999999995,0.6224064721240264
Local Only (Baseline),8N_30pct_Frag,13,0.008419036865234375,55,0.92,0.08,92.0,8.0,0.42018773703315027,0.7936100149690812,0.0,0.0,1028.695652173913,1504.72,2.068524724006049
Local Only (Baseline),8N_30pct_Frag,14,0.008546829223632812,56,0.9239130434782609,0.043478260869565216,85.0,4.0,0.40981432926413564,0.728508269978733,0.0,0.0,1021.9058823529411,1398.3199999999997,2.8039754204033245
Local Only (Baseline),8N_30pct_Frag,15,0.008507728576660156,57,0.94,0.06,94.0,6.0,0.40986082793735645,0.7724841340315908,0.0,0.0,976.936170212766,1342.1899999999998,2.328352177669269
Local Only (Baseline),8N_30pct_Frag,16,0.008599042892456055,58,0.96,0.04,96.0,4.0,0.41866601550786053,0.813493887209844,0.0,0.0,1014.2395833333334,1498.55,0.9856945412593161
Local Only (Baseline),8N_30pct_Frag,17,0.008545160293579102,59,0.9191919191919192,0.04040404040404041,91.0,4.0,0.415880811428515,0.6606058491907404,0.0,0.0,1016.2527472527472,1394.9999999999995,1.3127910152719362
Local Only (Baseline),8N_30pct_Frag,18,0.008688926696777344,60,0.98,0.02,98.0,2.0,0.42613620995765183,1.0103150700130468,0.0,0.0,1034.204081632653,1460.43,2.231139464604501
Local Only (Baseline),8N_30pct_Frag,19,0.008559226989746094,61,0.9361702127659575,0.0425531914893617,88.0,4.0,0.4076692277375216,0.7386352998170996,0.0,0.0,967.2613636363636,1436.2299999999987,1.0758096280260638
Local Only (Baseline),8N_30pct_Frag,20,0.008491992950439453,62,0.94,0.02,94.0,2.0,0.4254867811125679,0.6734174550917381,0.0,0.0,1023.1276595744681,1423.35,2.1163056979982158
Local Only (Baseline),8N_30pct_Frag,21,0.008396148681640625,63,0.9468085106382979,0.02127659574468085,89.0,2.0,0.40870775141021287,0.7539285596909073,0.0,0.0,984.5842696629213,1318.4800000000005,1.655079103753057
Local Only (Baseline),8N_30pct_Frag,22,0.00843501091003418,64,0.9540229885057471,0.04597701149425287,83.0,4.0,0.4121251524504959,0.6609429326166857,0.0,0.0,1036.5421686746988,1557.4799999999998,2.250275203035902
Local Only (Baseline),8N_30pct_Frag,23,0.009040117263793945,65,0.97,0.03,97.0,3.0,0.42080384003682664,0.6663654310665541,0.0,0.0,1011.8247422680413,1399.1599999999999,1.3578798782110195
